fecha,dia,mes,anio,afluencia,mes_numerico
2022-01-01,1,Enero,2022,16057,1
2022-01-02,2,Enero,2022,24134,1
2022-01-03,3,Enero,2022,55064,1
2022-01-04,4,Enero,2022,58005,1
2022-01-05,5,Enero,2022,57677,1
2022-01-06,6,Enero,2022,50310,1
2022-01-07,7,Enero,2022,55300,1
2022-01-08,8,Enero,2022,43929,1
2022-01-09,9,Enero,2022,22377,1
2022-01-10,10,Enero,2022,56514,1
2022-01-11,11,Enero,2022,55069,1
2022-01-12,12,Enero,2022,53617,1
2022-01-13,13,Enero,2022,55726,1
2022-01-14,14,Enero,2022,54780,1
2022-01-15,15,Enero,2022,40461,1
2022-01-16,16,Enero,2022,19418,1
2022-01-17,17,Enero,2022,53271,1
2022-01-18,18,Enero,2022,52987,1
2022-01-19,19,Enero,2022,52046,1
2022-01-20,20,Enero,2022,52515,1
2022-01-21,21,Enero,2022,53637,1
2022-01-22,22,Enero,2022,40143,1
2022-01-23,23,Enero,2022,21065,1
2022-01-24,24,Enero,2022,54153,1
2022-01-25,25,Enero,2022,54172,1
2022-01-26,26,Enero,2022,47747,1
2022-01-27,27,Enero,2022,53251,1
2022-01-28,28,Enero,2022,56213,1
2022-01-29,29,Enero,2022,39296,1
2022-01-30,30,Enero,2022,24602,1
2022-01-31,31,Enero,2022,54255,1
2022-02-01,1,Febrero,2022,56447,2
2022-02-02,2,Febrero,2022,59081,2
2022-02-03,3,Febrero,2022,59713,2
2022-02-04,4,Febrero,2022,61077,2
2022-02-05,5,Febrero,2022,47503,2
2022-02-06,6,Febrero,2022,25201,2
2022-02-07,7,Febrero,2022,32082,2
2022-02-08,8,Febrero,2022,64029,2
2022-02-09,9,Febrero,2022,64724,2
2022-02-10,10,Febrero,2022,63630,2
2022-02-11,11,Febrero,2022,64322,2
2022-02-12,12,Febrero,2022,52940,2
2022-02-13,13,Febrero,2022,27401,2
2022-02-14,14,Febrero,2022,66826,2
2022-02-15,15,Febrero,2022,67504,2
2022-02-16,16,Febrero,2022,68352,2
2022-02-17,17,Febrero,2022,66693,2
2022-02-18,18,Febrero,2022,61684,2
2022-02-19,19,Febrero,2022,47604,2
2022-02-20,20,Febrero,2022,37580,2
2022-02-21,21,Febrero,2022,68460,2
2022-02-22,22,Febrero,2022,70827,2
2022-02-23,23,Febrero,2022,70530,2
2022-02-24,24,Febrero,2022,77194,2
2022-02-25,25,Febrero,2022,73122,2
2022-02-26,26,Febrero,2022,51628,2
2022-02-27,27,Febrero,2022,38867,2
2022-02-28,28,Febrero,2022,73248,2
2022-03-01,1,Marzo,2022,76329,3
2022-03-02,2,Marzo,2022,72529,3
2022-03-03,3,Marzo,2022,72158,3
2022-03-04,4,Marzo,2022,74598,3
2022-03-05,5,Marzo,2022,55338,3
2022-03-06,6,Marzo,2022,28883,3
2022-03-07,7,Marzo,2022,72981,3
2022-03-08,8,Marzo,2022,72865,3
2022-03-09,9,Marzo,2022,74238,3
