fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-01-01,Atenea,1,Enero,2022,3169,1
2022-01-01,Ecobús,1,Enero,2022,6945,1
2022-01-01,Expdirecto,1,Enero,2022,52,1
2022-01-01,Expreso,1,Enero,2022,18375,1
2022-01-01,Nochebús,1,Enero,2022,227,1
2022-01-01,Ordinario,1,Enero,2022,37344,1
2022-01-01,S/Metro,1,Enero,2022,22324,1
2022-01-02,Atenea,2,Enero,2022,3421,1
2022-01-02,Ecobús,2,Enero,2022,14194,1
2022-01-02,Expreso,2,Enero,2022,36174,1
2022-01-02,Nochebús,2,Enero,2022,466,1
2022-01-02,Ordinario,2,Enero,2022,53699,1
2022-01-02,S/Metro,2,Enero,2022,28038,1
2022-01-03,Atenea,3,Enero,2022,17896,1
2022-01-03,Ecoatenea,3,Enero,2022,938,1
2022-01-03,Ecobús,3,Enero,2022,31058,1
2022-01-03,Expdirecto,3,Enero,2022,2294,1
2022-01-03,Expreso,3,Enero,2022,66692,1
2022-01-03,Nochebús,3,Enero,2022,679,1
2022-01-03,Ordinario,3,Enero,2022,110675,1
2022-01-03,S/Metro,3,Enero,2022,53642,1
2022-01-04,Atenea,4,Enero,2022,20570,1
2022-01-04,Ecoatenea,4,Enero,2022,2802,1
2022-01-04,Ecobús,4,Enero,2022,31537,1
2022-01-04,Expdirecto,4,Enero,2022,2385,1
2022-01-04,Expreso,4,Enero,2022,61602,1
2022-01-04,Nochebús,4,Enero,2022,814,1
2022-01-04,Ordinario,4,Enero,2022,119127,1
2022-01-04,S/Metro,4,Enero,2022,55497,1
2022-01-05,Atenea,5,Enero,2022,20518,1
2022-01-05,Ecoatenea,5,Enero,2022,1988,1
2022-01-05,Ecobús,5,Enero,2022,31644,1
2022-01-05,Expdirecto,5,Enero,2022,2527,1
2022-01-05,Expreso,5,Enero,2022,61063,1
2022-01-05,Nochebús,5,Enero,2022,847,1
2022-01-05,Ordinario,5,Enero,2022,122715,1
2022-01-05,S/Metro,5,Enero,2022,51604,1
2022-01-06,Atenea,6,Enero,2022,18903,1
2022-01-06,Ecoatenea,6,Enero,2022,2384,1
2022-01-06,Ecobús,6,Enero,2022,30235,1
2022-01-06,Expdirecto,6,Enero,2022,2084,1
2022-01-06,Expreso,6,Enero,2022,57557,1
2022-01-06,Nochebús,6,Enero,2022,1042,1
2022-01-06,Ordinario,6,Enero,2022,107236,1
2022-01-06,S/Metro,6,Enero,2022,49410,1
2022-01-06,Servicios Temporales,6,Enero,2022,2109,1
2022-01-07,Atenea,7,Enero,2022,18618,1
2022-01-07,Ecoatenea,7,Enero,2022,2299,1
2022-01-07,Ecobús,7,Enero,2022,30584,1
2022-01-07,Expdirecto,7,Enero,2022,2316,1
2022-01-07,Expreso,7,Enero,2022,63277,1
2022-01-07,Nochebús,7,Enero,2022,938,1
2022-01-07,Ordinario,7,Enero,2022,109066,1
2022-01-07,S/Metro,7,Enero,2022,52944,1
2022-01-07,Servicios Temporales,7,Enero,2022,2422,1
2022-01-08,Atenea,8,Enero,2022,9232,1
2022-01-08,Ecobús,8,Enero,2022,20719,1
2022-01-08,Expdirecto,8,Enero,2022,643,1
2022-01-08,Expreso,8,Enero,2022,45664,1
2022-01-08,Nochebús,8,Enero,2022,1076,1
2022-01-08,Ordinario,8,Enero,2022,68535,1
2022-01-08,S/Metro,8,Enero,2022,40294,1
2022-01-08,Servicios Temporales,8,Enero,2022,1857,1
2022-01-09,Atenea,9,Enero,2022,4810,1
2022-01-09,Ecobús,9,Enero,2022,13458,1
2022-01-09,Expreso,9,Enero,2022,32167,1
2022-01-09,Nochebús,9,Enero,2022,910,1
2022-01-09,Ordinario,9,Enero,2022,53836,1
2022-01-09,S/Metro,9,Enero,2022,25295,1
2022-01-09,Servicios Temporales,9,Enero,2022,1594,1
2022-01-10,Atenea,10,Enero,2022,19148,1
2022-01-10,Ecoatenea,10,Enero,2022,2912,1
2022-01-10,Ecobús,10,Enero,2022,29236,1
2022-01-10,Expdirecto,10,Enero,2022,2332,1
2022-01-10,Expreso,10,Enero,2022,91973,1
2022-01-10,Nochebús,10,Enero,2022,679,1
2022-01-10,Ordinario,10,Enero,2022,86024,1
2022-01-10,S/Metro,10,Enero,2022,52402,1
2022-01-10,Servicios Temporales,10,Enero,2022,2381,1
2022-01-11,Atenea,11,Enero,2022,19202,1
2022-01-11,Ecoatenea,11,Enero,2022,1898,1
2022-01-11,Ecobús,11,Enero,2022,30109,1
2022-01-11,Expdirecto,11,Enero,2022,2368,1
2022-01-11,Expreso,11,Enero,2022,100995,1
2022-01-11,Nochebús,11,Enero,2022,722,1
2022-01-11,Ordinario,11,Enero,2022,85454,1
2022-01-11,S/Metro,11,Enero,2022,52842,1
2022-01-11,Servicios Temporales,11,Enero,2022,2777,1
2022-01-12,Atenea,12,Enero,2022,20289,1
2022-01-12,Ecoatenea,12,Enero,2022,3434,1
2022-01-12,Ecobús,12,Enero,2022,29316,1
2022-01-12,Expdirecto,12,Enero,2022,2276,1
2022-01-12,Expreso,12,Enero,2022,96495,1
2022-01-12,Nochebús,12,Enero,2022,717,1
2022-01-12,Ordinario,12,Enero,2022,86093,1
2022-01-12,S/Metro,12,Enero,2022,54030,1
2022-01-12,Servicios Temporales,12,Enero,2022,2281,1
2022-01-13,Atenea,13,Enero,2022,17981,1
2022-01-13,Ecoatenea,13,Enero,2022,2102,1
2022-01-13,Ecobús,13,Enero,2022,29645,1
2022-01-13,Expdirecto,13,Enero,2022,2198,1
2022-01-13,Expreso,13,Enero,2022,99824,1
2022-01-13,Nochebús,13,Enero,2022,778,1
2022-01-13,Ordinario,13,Enero,2022,86296,1
2022-01-13,S/Metro,13,Enero,2022,50782,1
2022-01-13,Servicios Temporales,13,Enero,2022,2443,1
2022-01-14,Atenea,14,Enero,2022,18115,1
2022-01-14,Ecoatenea,14,Enero,2022,2741,1
2022-01-14,Ecobús,14,Enero,2022,29517,1
2022-01-14,Expdirecto,14,Enero,2022,2062,1
2022-01-14,Expreso,14,Enero,2022,103886,1
2022-01-14,Nochebús,14,Enero,2022,908,1
2022-01-14,Ordinario,14,Enero,2022,83147,1
2022-01-14,S/Metro,14,Enero,2022,48418,1
2022-01-14,Servicios Temporales,14,Enero,2022,2679,1
2022-01-15,Atenea,15,Enero,2022,7980,1
2022-01-15,Ecobús,15,Enero,2022,20974,1
2022-01-15,Expdirecto,15,Enero,2022,529,1
2022-01-15,Expreso,15,Enero,2022,63226,1
2022-01-15,Nochebús,15,Enero,2022,1047,1
2022-01-15,Ordinario,15,Enero,2022,55272,1
2022-01-15,S/Metro,15,Enero,2022,39198,1
2022-01-15,Servicios Temporales,15,Enero,2022,1983,1
2022-01-16,Atenea,16,Enero,2022,3832,1
2022-01-16,Ecobús,16,Enero,2022,12701,1
2022-01-16,Expreso,16,Enero,2022,46143,1
2022-01-16,Nochebús,16,Enero,2022,1009,1
2022-01-16,Ordinario,16,Enero,2022,36821,1
2022-01-16,S/Metro,16,Enero,2022,25642,1
2022-01-16,Servicios Temporales,16,Enero,2022,699,1
2022-01-17,Atenea,17,Enero,2022,18949,1
2022-01-17,Ecoatenea,17,Enero,2022,2361,1
2022-01-17,Ecobús,17,Enero,2022,29029,1
2022-01-17,Expdirecto,17,Enero,2022,2126,1
2022-01-17,Expreso,17,Enero,2022,96341,1
2022-01-17,Nochebús,17,Enero,2022,667,1
2022-01-17,Ordinario,17,Enero,2022,83261,1
2022-01-17,S/Metro,17,Enero,2022,50447,1
2022-01-17,Servicios Temporales,17,Enero,2022,3494,1
2022-01-18,Atenea,18,Enero,2022,18039,1
2022-01-18,Ecoatenea,18,Enero,2022,2641,1
2022-01-18,Ecobús,18,Enero,2022,29269,1
2022-01-18,Expdirecto,18,Enero,2022,2181,1
2022-01-18,Expreso,18,Enero,2022,97549,1
2022-01-18,Nochebús,18,Enero,2022,677,1
2022-01-18,Ordinario,18,Enero,2022,83798,1
2022-01-18,S/Metro,18,Enero,2022,48100,1
2022-01-18,Servicios Temporales,18,Enero,2022,3076,1
2022-01-19,Atenea,19,Enero,2022,18247,1
2022-01-19,Ecoatenea,19,Enero,2022,4218,1
2022-01-19,Ecobús,19,Enero,2022,28080,1
2022-01-19,Expdirecto,19,Enero,2022,2038,1
2022-01-19,Expreso,19,Enero,2022,101083,1
2022-01-19,Nochebús,19,Enero,2022,737,1
2022-01-19,Ordinario,19,Enero,2022,80661,1
