anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Enero,2024-01-01,08:20:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,TLALPAN CENTRO I,Tlalpan,19.2949181890535,-99.1750042100468,1,8,19.295,-99.175
2024,Enero,2024-01-01,08:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL AJUSCO,El Charco,19.2320566066898,-99.2131626598403,1,8,19.232,-99.213
2024,Enero,2024-01-01,02:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,HÉROES DE PADIERNA,Heroes De Padierna,19.2795826125947,-99.2177733799449,1,2,19.28,-99.218
2023,Diciembre,2023-12-26,19:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2809282518884,-99.1796310195307,12,19,19.281,-99.18
2023,Noviembre,2023-11-08,17:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Fuentes Brotantes,19.2806105131039,-99.1825881600248,11,17,19.281,-99.183
2023,Diciembre,2023-12-31,07:00:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN CUAUHTÉMOC,UAT-CUH-6,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2509253257518,-99.1735759403424,12,7,19.251,-99.174
2023,Diciembre,2023-12-03,19:50:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,BELISARIO DOMÍNGUEZ SECCIÓN XVI,Belisario Dominguez Seccion Xvi,19.2944890887373,-99.1561523096178,12,19,19.294,-99.156
2024,Enero,2024-01-01,13:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,TLP-3,UI-3CD,SANTO TOMAS AJUSCO,Pueblo Santo Tomas Ajusco,19.2253351559146,-99.2116445297422,1,13,19.225,-99.212
2024,Enero,2024-01-01,01:10:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TORIELLO GUERRA,Toriello Guerra,19.2969902478449,-99.1685977600453,1,1,19.297,-99.169
2023,Diciembre,2023-12-30,23:20:00,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SAN ANDRÉS TOTOLTEPEC,Pueblo San Andres Totoltepec,19.2560865733647,-99.1698456598808,12,23,19.256,-99.17
